bornIn,tmdbId,born,name,bio,died,poster,n.url
"""Galesburg, Illinois, USA""","""976028""","""1898-08-31""","""Colbert Clark""",null,"""1960-05-04""",null,"""https://themoviedb.org/person/976028"""
"""Tavistock, Ontario, Canada""","""90070""","""1898-08-05""",""" Armand Schaefer""","""From Wikipedia, the free encyclopedia

Armand Schaefer (5 August 1898 – 26 September 1967) was a Canadian film producer and director.  He produced over 100 films between 1932 and 1953.  He also directed 24 films between 1931 and 1946.  He was born in Tavistock, Ontario, Canada. 

From 1955-1956, he joined Gene Autry as co-executive producers of the Dickie Jones western television series Buffalo Bill, Jr...""","""1967-09-26""",null,"""https://themoviedb.org/person/90070"""
"""San Francisco, California""","""34799""","""1889-03-31""","""Harry L. Fraser""","""From Wikipedia, the free encyclopedia. 

Harry L.  Fraser (31 March 1889 - 8 April 1974) was an American film director.  He directed over 80 films between 1925 and 1951, including the 1934 John Wayne film Randy Rides Alone and the Frank Buck cliffhanger serial Jungle Menace (1937).  He had a small acting role in the John Wayne film 'Neath the Arizona Skies.  He also wrote screenplays, including Chick Carter, Detective (1946)...""","""1974-04-08""",null,"""https://themoviedb.org/person/34799"""
null,"""142865""","""1905-04-26""","""Jean Vigo""","""Jean Vigo was a French film director who helped establish poetic realism in film in the 1930s; he was a posthumous influence on the French New Wave of the late 1950s and early 1960s. 

Vigo was born to Emily Clero and the prominent Catalan militant anarchist Eugeni Bonaventura de Vigo i Sallés (who adopted the name Miguel Almereyda—an anagram of \""y'a la merde\"", which translates as \""there's shit\"").  Much of Jean's early life was spent on the run with his parents...""","""1934-10-05""","""https://image.tmdb.org/t/p/w440_and_h660_face/zhrrNzuGZgUVY5sz5RdpPlrQral.jpg""","""https://themoviedb.org/person/142865"""
"""Los Angeles, California, USA""","""131443""","""1893-03-06""","""Gus Meins""",null,"""1940-08-01""",null,"""https://themoviedb.org/person/131443"""
"""Birmingham, England, UK""","""131406""","""1887-01-15""",""" Charley Rogers""",null,"""1956-12-20""",null,"""https://themoviedb.org/person/131406"""
"""La Salle, Illinois, USA""","""82678""","""1886-06-29""","""Harry Lachman""","""From Wikipedia, the free encyclopedia

Harry B.  Lachman (June 29, 1886 – March 19, 1975) was an American artist, set designer, and film director. 

He was born in La Salle, Illinois on June 29, 1886.  Lachman was educated at the University of Michigan before becoming a magazine and book illustrator, contributing 4 colour illustrations to the 1907 work John Smith, Gentleman Adventurer by Charles Harcourt Ainslie Forbes-Lindsay...""","""1975-03-19""","""https://image.tmdb.org/t/p/w440_and_h660_face/zLFvGhzcidfGcEIMYrTLv1xQeYh.jpg""","""https://themoviedb.org/person/82678"""
"""Olmütz, Moravia, Austria-Hungary [now Olomouc, Czech Republic]""","""5030""","""1904-09-17""","""Edgar G. Ulmer""","""​From Wikipedia, the free encyclopedia.   

Edgar Georg Ulmer (September 17, 1904 – September 30, 1972) was an Austrian-American film director.  He is best remembered for the movies The Black Cat (1934) and Detour (1945).  These stylish and eccentric works have achieved cult status, whereas Ulmer's other films remain relatively unknown. 

The first feature he directed in North America, Damaged Lives (1933), was a low-budget exploitation film exposing the horrors of venereal disease...""","""1972-09-30""",null,"""https://themoviedb.org/person/5030"""
"""New York City, New York, USA""","""30165""","""1901-10-26""","""Mark Sandrich""","""From Wikipedia, the free encyclopedia.   Mark Sandrich (birth name: Mark Rex Goldstein) (October 26, 1900 – March 4, 1945) was a Jewish American film director, writer and producer. 

One of the most gifted and least heralded directors of the 1930s and early 1940s, Sandrich was an engineering student at Columbia University when he started the movie business by accident.  When visiting a friend on a film set, he saw that the director had a problem in setting up a shot; Sandrich offered his advice...""","""1945-03-04""","""https://image.tmdb.org/t/p/w440_and_h660_face/77Gh9XVPbWT68eoOGzOwu4e1gUC.jpg""","""https://themoviedb.org/person/30165"""
null,"""120529""","""1901-04-26""","""Hamilton MacFadden""",null,null,null,"""https://themoviedb.org/person/120529"""
"""Dublin, Ireland""","""9062""","""1893-03-23""","""Cedric Gibbons""","""From Wikipedia, the free encyclopedia

Austin Cedric Gibbons (March 23, 1893 – July 26, 1960) was an Irish art director and production designer for the film industry.  He also made a significant contribution to motion picture theater architecture from the 1930s to 1950s.  He is credited as the designer of the Oscar statuette in 1928. 

Gibbons was born in Dublin, Ireland and studied at the Art Students League of New York and worked for his architect father...""","""1960-07-26""","""https://image.tmdb.org/t/p/w440_and_h660_face/4490hNfDKQPh0pIn8GBSQ0UARMX.jpg""","""https://themoviedb.org/person/9062"""
"""Graceville, Minnesota, USA""","""82413""","""1887-07-17""",""" Jack Conway""","""​From Wikipedia, the free encyclopedia

He was born as Hugh Ryan Conway, on July 17, 1887, in Graceville, Minnesota, US. 

Conway started out as an actor, joining a repertory theater group straight out of high school.  He then moved into films and, in 1911, became a member of D. W.  Griffith's stock company, appearing primarily in westerns.  Four years later, he made his mark as a director and gained valuable experience at Universal (1916–17 and 1921–23), before moving on to MGM in 1925...""","""1952-10-11""","""https://image.tmdb.org/t/p/w440_and_h660_face/xftx369DCHKm0pA9dW0ZDUDZnQ2.jpg""","""https://themoviedb.org/person/82413"""
null,"""1313118""",null,""" James C. McKay""",null,null,null,"""https://themoviedb.org/person/1313118"""
"""San Diego, California, USA""","""32427""","""1889-03-21""","""W.S. Van Dyke""","""From Wikipedia, the free encyclopedia

Woodbridge Strong \""W.  S. \"" Van Dyke II (Woody) (March 21, 1889 – February 5, 1943) was an American film director and writer who made several successful early sound films, including Tarzan the Ape Man in 1932, The Thin Man in 1934, San Francisco in 1936, and six popular musicals with Nelson Eddy and Jeanette MacDonald...""","""1943-02-05""","""https://image.tmdb.org/t/p/w440_and_h660_face/xejTNkwrM0r5hXZ0x2WKnUnn4VY.jpg""","""https://themoviedb.org/person/32427"""
"""Budapest, Austria-Hungary [now Hungary]""","""4109""","""1886-12-24""","""Michael Curtiz""","""Michael Curtiz was a Hungarian-American film director.  He had early credits as Mihály Kertész and Michael Kertész.  He directed more than fifty films in Europe and more than one hundred in the United States.  The best-known were The Adventures of Robin Hood, Angels with Dirty Faces, Casablanca, Yankee Doodle Dandy, and White Christmas.  He thrived in the heyday of the Warner Bros.  studio in the 1930s and '40s...""","""1962-04-10""","""https://image.tmdb.org/t/p/w440_and_h660_face/uGNh4uO7rUQzWmwfutckGgsADr5.jpg""","""https://themoviedb.org/person/4109"""
"""New York City, New York, USA""","""108987""","""1890-06-10""","""William A. Seiter""","""From Wikipedia, the free encyclopedia

William A.  Seiter (June 10, 1890 - July 26, 1964) was an American film director.  He was born in New York City.  After attending Hudson River Military Academy, Seiter broke into films in 1915 as a bit player at Mack Sennett's Keystone Studios, doubling a cowboy.  He graduated to director in 1918...""","""1964-07-26""",null,"""https://themoviedb.org/person/108987"""
"""Mülhausen, Alsace, Germany [now Mulhouse, Haut-Rhin, France]""","""10001""","""1902-07-01""","""William Wyler""","""From Wikipedia, the free encyclopedia. 

William Wyler (July 1, 1902 – July 27, 1981) was a leading American motion picture director, producer, and screenwriter. 

Notable works include Ben-Hur (1959), The Best Years of Our Lives (1946), and Mrs.  Miniver (1942), all which won Wyler Academy Awards for Best Director, and also won Best Picture.  He earned his first Oscar nomination for directing Dodsworth in 1936, sparking a 20-year run of almost unbroken greatness...""","""1981-07-27""","""https://image.tmdb.org/t/p/w440_and_h660_face/iJ3pqrklebAlED8FNPfRc0XLgiH.jpg""","""https://themoviedb.org/person/10001"""
"""Chicago, Illinois, USA""","""93906""","""1889-10-07""","""Robert Z. Leonard""","""From Wikipedia, the free encyclopedia

Robert Zigler Leonard (October 7, 1889, Chicago, Illinois - August 27, 1968, Beverly Hills, California) was an American film director, actor, producer and screenwriter. 

At one time he was married to silent superstar Mae Murray, with the two forming Tiffany Pictures to film eight motion pictures that were released by MGM. 

He was nominated for the Academy Award for Best Director for The Divorcee and The Great Ziegfeld...""","""1968-08-27""","""https://image.tmdb.org/t/p/w440_and_h660_face/cZ0eavFDT07uPFBKzXSyvbwcKFp.jpg""","""https://themoviedb.org/person/93906"""
"""Towanda, Pennsylvania, USA""","""74659""","""1892-03-10""","""Gregory La Cava""","""​From Wikipedia, the free encyclopedia. 

Gregory La Cava (March 10, 1892 – March 1, 1952) was an American film director best known for his films of the 1930s, including My Man Godfrey and Stage Door...""","""1952-03-01""","""https://image.tmdb.org/t/p/w440_and_h660_face/AgwwMJokMN6yWdwHe1kwJRy9nJh.jpg""","""https://themoviedb.org/person/74659"""
"""New York City, New York, USA""","""81165""","""1891-01-29""","""Archie Mayo""","""​From Wikipedia, the free encyclopedia.   

Archie Mayo (29 January 1891, New York City – 4 December 1968, Guadalajara, Mexico) was a movie director and stage actor who moved to Hollywood in 1915 and began working as a director in 1917...""","""1968-12-04""","""https://image.tmdb.org/t/p/w440_and_h660_face/s4xz3GN0RBxQkZgDWgidXZeFq32.jpg""","""https://themoviedb.org/person/81165"""
"""Oakland, California, USA""","""18738""","""1904-12-18""","""George Stevens""","""From Wikipedia, the free encyclopedia. 

George Stevens (December 18, 1904 – March 8, 1975) was an American film director, producer, screenwriter and cinematographer. 

Among his most notable films were Diary of Anne Frank (1959), nominated for Best Director, Giant (1956), winner of Oscar for Best Director, Shane (1953), Oscar nominated, and A Place in the Sun (1951), winner of Oscar for Best Director...""","""1975-03-08""","""https://image.tmdb.org/t/p/w440_and_h660_face/mblM3Kg4YbD4Jxil1aCs9qBNt7s.jpg""","""https://themoviedb.org/person/18738"""
"""Paris, France""","""121402""","""1875-09-13""","""Louis J. Gasnier""","""From Wikipedia, the free encyclopedia

Louis J.  Gasnier (15 September 1875 - 15 February 1963) was a French film director. 

Born in Paris, Gasnier was working in theatre when Pathé hired him to direct films in the earliest days of cinema.  He directed comedian Max Linder in many of his early short comedies...""","""1963-02-15""","""https://image.tmdb.org/t/p/w440_and_h660_face/bpuPD6VCKgRq3FwMNDlJdTAUEQI.jpg""","""https://themoviedb.org/person/121402"""
null,"""101374""","""1901-03-09""",""" Gustav Machatý""",null,"""1963-12-14""","""https://image.tmdb.org/t/p/w440_and_h660_face/aY3DmNmHBlYNAGPflWrgfoYzPTC.jpg""","""https://themoviedb.org/person/101374"""
"""Paris, France""","""11528""","""1894-09-15""","""Jean Renoir""","""Jean Renoir was a French film director, screenwriter, actor, producer and author.  As a film director and actor, he made more than forty films from the silent era to the end of the 1960s.  As an author, he wrote the definitive biography of his father, the painter, Pierre-Auguste Renoir, Renoir, My Father (1962). 

During the 1930s Renoir enjoyed great success as a filmmaker.  In 1931 he directed his first sound films, On purge bébé and La Chienne (The Bitch)...""","""1979-02-12""","""https://image.tmdb.org/t/p/w440_and_h660_face/oN93wdY94BIVDQVbFfHGOBCk3L.jpg""","""https://themoviedb.org/person/11528"""
"""Ludwigshafen am Rhein, Germany""","""49214""","""1893-07-15""","""William Dieterle""","""From Wikipedia, the free encyclopedia. 

William Dieterle (July 15, 1893 – December 9, 1972) was a German actor and film director, who worked in Hollywood for much of his career.  His best known films include The Devil and Daniel Webster, The Story of Louis Pasteur and The Hunchback of Notre Dame.  His 1937 film The Life of Emile Zola won the Academy Award for Best Picture...""","""1972-12-08""","""https://image.tmdb.org/t/p/w440_and_h660_face/9xJgBwpVs7O55AH1jPt5DLioWUF.jpg""","""https://themoviedb.org/person/49214"""
null,"""100131""","""1912-11-24""","""Garson Kanin""",null,"""1999-03-13""",null,"""https://themoviedb.org/person/100131"""
"""Lille, Nord, Nord-Pas-de-Calais, France""","""39058""","""1896-10-03""","""Julien Duvivier""","""From Wikipedia, the free encyclopedia. 

Julien Duvivier (8 October 1896, Lille – 29 October 1967, Paris) was a French film director.  He was prominent in French cinema in the years 1930-1960.  Amongst his most original films, chiefly notable are La Bandera, Pépé le Moko, Panique, Voici le temps des assassins and Marianne de ma jeunesse. 

Description above from the Wikipedia article Julien Duvivier, licensed under CC-BY-SA, full list of contributors on Wikipedia...""","""1967-10-30""","""https://image.tmdb.org/t/p/w440_and_h660_face/4ONn2acnbF1alGicHVHYqPfM4r1.jpg""","""https://themoviedb.org/person/39058"""
"""Los Angeles, California, USA ""","""564042""","""1905-03-26""",""" Larry Morey""","""American lyricist and author chiefly noted for co-writing (with the composer and songwriter Frank Churchill) the musical numbers for Disney's Snow White and the Seven Dwarfs (1937), including \""Heigh-Ho\"", \""I'm Wishing\"" and \""Whistle While You Work\"".  He also worked on the picture as a sequence director.  His second claim to fame was adapting Felix Salten's 1923 book, \""Bambi, a Life in the Woods\"", for the screen (as well as co-writing the score with Churchill)...""","""1971-05-08""",null,"""https://themoviedb.org/person/564042"""
null,"""52218""","""1899-09-07""",""" Perce Pearce""","""Trusted producer went Walt Disney decided to go oversees to England...""","""1955-07-04""",null,"""https://themoviedb.org/person/52218"""
"""Galveston, Texas, USA""","""29962""","""1894-02-08""","""King Vidor""","""King Wallis Vidor (February 8, 1894 – November 1, 1982) was an American film director, film producer, and screenwriter whose career spanned nearly seven decades.  In 1979, he was awarded an Honorary Academy Award for his \""incomparable achievements as a cinematic creator and innovator. \"" He was nominated five times for the Academy Award for Best Director, and won eight international film awards during his career...""","""1982-11-01""","""https://image.tmdb.org/t/p/w440_and_h660_face/4BXcoAHxGx4IcS48yYVQVDzAchJ.jpg""","""https://themoviedb.org/person/29962"""
""" Philadelphia, Pennsylvania, USA""","""67426""","""1889-08-04""",""" William Keighley""","""​From Wikipedia, the free encyclopedia. 

William Jackson Keighley  (August 4, 1889, Philadelphia, Pennsylvania - June 24, 1984, New York, New York) was an American stage actor and Hollywood film director. 

After graduating from the Ludlum School of Dramatic Art, Keighley began acting at the age of 23.  By the 1910s and 1920s, he was acting and directing on Broadway.  With the advent of talking pictures, he relocated to Hollywood.  He eventually signed with Warner Bros...""","""1984-06-24""",null,"""https://themoviedb.org/person/67426"""
"""Jersey City, New Jersey, USA""","""78053""","""1899-02-21""","""Edwin L. Marin""","""​From Wikipedia, the free encyclopedia

Edwin L.  Marin (February 21, 1899 – May 2, 1951) was an American film director who directed 58 films between 1932 and 1951, working with Anna May Wong, John Wayne, Peter Lorre, George Raft, Bela Lugosi, Judy Garland, Eddie Cantor, and Hoagy Carmichael, among many others.  Marin was born in Jersey City, New Jersey, and died in Los Angeles, California. 

Description above from the Wikipedia article Edwin L...""","""1951-05-02""","""https://image.tmdb.org/t/p/w440_and_h660_face/cxSIKO744okrLzSL99Y3UV3RLxN.jpg""","""https://themoviedb.org/person/78053"""
""" London, England""","""32919""","""1902-11-09""","""Anthony Asquith""","""From Wikipedia, the free encyclopedia. 

Anthony Asquith (9 November 1902 –20 February 1968) was a leading English film director.  He collaborated successfully with playwright Terence Rattigan on The Winslow Boy (1948) and The Browning Version (1951), among other adaptations.  His other notable films include Pygmalion (1938), French Without Tears (1940), The Way to the Stars (1945), and a 1952 adaptation of Oscar Wilde's The Importance of Being Earnest...""","""1968-02-20""","""https://image.tmdb.org/t/p/w440_and_h660_face/7iYYG7Z6Y0Hgp4MwCfTyI01Quph.jpg""","""https://themoviedb.org/person/32919"""
"""Brooklyn, New York City, New York, USA""","""77101""","""1900-11-13""","""Edward Buzzell""","""​From Wikipedia, the free encyclopedia

Edward Buzzell (November 13, 1900 - January 11, 1985) was an American film director whose credits for Metro-Goldwyn-Mayer included Honolulu (1939), the Marx Brothers films At the Circus (1939) and Go West (1940), the musicals Best Foot Forward (1943) with Lucille Ball and Neptune's Daughter (1949) with Esther Williams, and Easy to Wed, starring Van Johnson, Williams, and Ball. 

Buzzell was born in Brooklyn...""","""1985-01-11""","""https://image.tmdb.org/t/p/w440_and_h660_face/rJIp8s3dQfosC3m8KGzJEhRvLd3.jpg""","""https://themoviedb.org/person/77101"""
"""Bristol, England, UK""","""253716""","""1903-11-16""","""Thorold Dickinson""",null,"""1984-04-14""",null,"""https://themoviedb.org/person/253716"""
"""New York City, New York, USA""","""143463""","""1894-07-14""","""Dave Fleischer""","""From Wikipedia, the free encyclopedia. 

David \""Dave\"" Fleischer (July 14, 1894 – June 25, 1979) was an American animator film director and film producer, best known as a co-owner of Fleischer Studios with his older brother Max Fleischer.  He was a native of New York City...""","""1979-06-25""","""https://image.tmdb.org/t/p/w440_and_h660_face/9RGAhYbsMH3URnGZKEU0UrcbURt.jpg""","""https://themoviedb.org/person/143463"""
null,"""97017""","""1898-04-20""","""Sidney Lanfield""",null,"""1972-06-20""",null,"""https://themoviedb.org/person/97017"""
"""Findlay, Ohio, USA""","""30146""","""1891-09-05""","""Rowland V. Lee""","""From Wikipedia, the free encyclopedia

Rowland Vance Lee (born September 6, 1891, Findlay, Ohio — died December 21, 1975, Palm Desert, California) was a U. S.  film actor, director, writer, and producer.  His acting profession was fairly short lived.  His main profession was directing, but he would write scripts on occasion.  He worked at Fox, Paramount , Warners and RKO. 

Lee directed the 1940 black-and-white film The Son of Monte Cristo, starring Louis Hayward, Joan Bennett and George Sanders...""","""1975-12-21""","""https://image.tmdb.org/t/p/w440_and_h660_face/4zdGa2JLvjxlag4NVjr6UgfFIiT.jpg""","""https://themoviedb.org/person/30146"""
"""Los Angeles, California, USA""","""95293""","""1895-11-29""","""Busby Berkeley""","""From Wikipedia, the free encyclopedia. 

Busby Berkeley (November 29, 1895 – March 14, 1976) was a highly influential Hollywood movie director and musical choreographer.  Berkeley was famous for his elaborate musical production numbers that often involved complex geometric patterns.  Berkeley's works used large numbers of showgirls and props as fantasy elements in kaleidoscopic on-screen performances...""","""1976-03-14""","""https://image.tmdb.org/t/p/w440_and_h660_face/5iOmpxriRiZPHqxTDv2aqSp9Mk.jpg""","""https://themoviedb.org/person/95293"""
"""Chicago, Illinois, USA ""","""82800""","""1899-02-23""",""" Norman Taurog""","""From Wikipedia, the free encyclopedia. 

Norman Rae Taurog (February 23, 1899 - April 7, 1981) was an American film director and screenwriter.  Between 1920 and 1968, Taurog directed over 140 films, and directed Elvis Presley in more movies than any other director (nine, starting with G. I.  Blues (1960)).  He won the 1931 Academy Award for Best Director for the film Skippy and still holds the record as the youngest director (32) to win it...""","""1981-04-07""",null,"""https://themoviedb.org/person/82800"""
"""Manhattan, New York City, New York, USA""","""226599""","""1902-09-02""","""Norman Ferguson""","""“I was born on the East Side of New York in 1902.  Played games in and out family entrances of saloon on Second Avenue until chased by bartender.  Sold newspapers on Fifth Avenue at the age of ten.  Had ambition to become fireman but moved across the bridge to the wide open spaces of Brooklyn and decided to be a cowboy instead.  Was transferred from public school to high school in Brooklyn by mistake and much to every one’s surprise became a stenographer...""","""1957-11-04""","""https://image.tmdb.org/t/p/w440_and_h660_face/fp0NPNlKl08kKbEgrlgvmxJJC7L.jpg""","""https://themoviedb.org/person/226599"""
"""Modesto, California, USA""","""5690""","""1912-06-11""",""" James Algar""","""James Algar studied at Stanford where he developed his skills as a cartoonist by drawing for the university's satirical magazine, The Chaparral.  He joined the Disney Organisation in 1934, initially as animator.  He directed the classic \""Sorcerer's Apprentice\"" segment ofFantasia (1940), as well as several sequences of Bambi (1942).  Algar was one of several key personnel to whom Walt Disney delegated higher executive functions...""","""1998-02-26""","""https://image.tmdb.org/t/p/w440_and_h660_face/awqwWqAZ4b6rBhivYfLDbnsxLQe.jpg""","""https://themoviedb.org/person/5690"""
"""Minneapolis, Minnesota, USA""","""5691""","""1893-02-05""",""" Samuel Armstrong""","""Samuel Armstrong was an American animation director...""","""2976-09-29""",null,"""https://themoviedb.org/person/5691"""
null,"""1094239""",null,""" Ford Beebe Jr.""",null,null,null,"""https://themoviedb.org/person/1094239"""
"""Oklahoma - USA""","""11432""","""1911-03-26""",""" T. Hee""","""American animator, director, and teacher.  He taught character design and caricature.   Hee worked at Leon Schlesinger Productions from 1935–36 as a character designer.  He designed many of the celebrity caricatures used in The Coo Coo Nut Grove (1936) and The Woods Are Full of Cuckoos (1937).  A 1936 Christmas card that he drew, featuring caricatures of the Schlesinger animators, was used to design the gremlins in the 1944 animated short Russian Rhapsody...""","""1998-10-30""",null,"""https://themoviedb.org/person/11432"""
"""Mahanoy City, Pennsylvania, USA""","""148849""","""1888-04-08""","""Victor Schertzinger""","""​From Wikipedia, the free encyclopedia.   

Victor L.  Schertzinger (April 8, 1888 - October 26, 1941) was an American composer, film director, film producer, and screenwriter.  His films include Paramount on Parade (co-director, 1930), Something to Sing About (1937), and the first two \""Road\"" pictures, Road to Singapore (1940) and Road to Zanzibar (1941)...""","""1941-10-26""","""https://image.tmdb.org/t/p/w440_and_h660_face/7wR8zyg35twNJRlrboe1bN3kAza.jpg""","""https://themoviedb.org/person/148849"""
"""Bekesbourne, Kent, England""","""68424""","""1905-09-30""","""Michael Powell""","""Michael Latham Powell (30 September 1905 – 19 February 1990) was a renowned English film director, celebrated for his partnership with Emeric Pressburger.  They worked together under the name of \""The Archers\"" and produced a series of classic British films, notably The Thief of Bagdad (1940), 49th Parallel (1941), The Life and Death of Colonel Blimp (1943), A Matter of Life and Death (1946, also called Stairway to Heaven), Black Narcissus (1947) and The Red Shoes (1948)...""","""1990-02-19""","""https://image.tmdb.org/t/p/w440_and_h660_face/gkHgrKa834PZVqAQ5kSs8Cn0pXv.jpg""","""https://themoviedb.org/person/68424"""
"""New York City, New York, USA""","""30129""","""1894-09-07""","""George Waggner""","""​From Wikipedia, the free encyclopedia. 

George Waggner  (September 7, 1894 - December 11, 1984) was an American film director, producer and actor. 

Born in New York City, he made his film debut as Yousayef in The Sheik (1921).  He later went on to appearances in Western films.  The first film he directed was Western Trails (1938) and his most well-known directorial effort arguably remains The Wolf Man (1941)...""","""1984-12-11""","""https://image.tmdb.org/t/p/w440_and_h660_face/mXPDqaZCPjFBioLN1IJCltrD4Za.jpg""","""https://themoviedb.org/person/30129"""
"""Deadwood, South Dakota, USA""","""81930""","""1896-12-02""","""Alfred L. Werker""","""​From Wikipedia, the free encyclopedia

Alfred L.  Werker (December 2, 1896 – July 28, 1975) was a film director whose work in movies spanned from 1917 through 1957.  After a number of film production jobs and assistant directing, Werker co-directed his first film, Ridin' the Wind in 1925 alongside director Del Andrews.  He was brought in by Fox Film Corporation executives to re-shoot and re-edit Erich von Stroheim's film Hello, Sister! (1933), co-starring Boots Mallory and ZaSu Pitts...""","""1975-07-28""","""https://image.tmdb.org/t/p/w440_and_h660_face/pt9YwqMlPXcETPhmzav43BvrPPo.jpg""","""https://themoviedb.org/person/81930"""
null,"""150003""","""1909-11-14""",""" Graham Heid""",null,"""1976-03-01""",null,"""https://themoviedb.org/person/150003"""
"""Paris, France""","""10146""","""1904-11-12""","""Jacques Tourneur""","""Jacques Tourneur (also known as Jack Turner; November 12, 1904 – December 19, 1977) was a French film director known for the classic film noir Out of the Past and a series of low-budget horror films he made for RKO Studios, including Cat People, I Walked with a Zombie and The Leopard Man...""","""1977-12-19""","""https://image.tmdb.org/t/p/w440_and_h660_face/fzVtRZzfCdFRz26vsNrRNvJdVEU.jpg""","""https://themoviedb.org/person/10146"""
"""Norborne, Missouri, USA""","""29755""","""1896-08-01""","""Erle C. Kenton""","""From Wikipedia, the free encyclopedia

Erle C.  Kenton (August 1, 1896 – January 28, 1980) was an American film director.  He directed 131 films between 1916 and 1957.  He was born in Norborne, Missouri and died in Glendale, California from Parkinson's disease. 

Kenton and Edward Ludwig were the principal directors of the 1958-1960 CBS television series, The Texan, starring Rory Calhoun as Bill Longley, a \""Robin Hood of the West\"", who drifts through the region helping persons in need...""","""1980-01-28""","""https://image.tmdb.org/t/p/w440_and_h660_face/zGONdRCeQO7RKJ0UV8aGdzbAjKF.jpg""","""https://themoviedb.org/person/29755"""
"""Los Angeles, California, USA""","""81285""","""1896-12-05""","""Stuart Heisler""","""From Wikipedia, the free encyclopedia. 

Stoops Heisler (December 5, 1896 - August 21, 1979) was an American film and television director.  He worked as a motion picture editor from 1921 to 1936, then dedicated the rest of his career to that of a film director. 

Director of 1944 propaganda film The Negro Soldier, a documentary style recruitment piece targeting African-Americans. 

He received an Oscar nomination in 1949 for his contribution to the visual effects of the film Tulsa...""","""1979-08-21""","""https://image.tmdb.org/t/p/w440_and_h660_face/kdNAwG8DWEW09m0Q4WtJnW2p4U6.jpg""","""https://themoviedb.org/person/81285"""
"""Vienna, Georgia, USA""","""19528""","""1906-07-16""","""Vincent Sherman""","""From Wikipedia, the free encyclopedia

Vincent Sherman (July 16, 1906 – June 18, 2006) was an American director, and actor, who worked in Hollywood.  His movies include Mr.  Skeffington (1944), Nora Prentiss (1947), and The Young Philadelphians (1959). 

He began his career as an actor on Broadway and later films.  He directed B-movies for Warner Bros.  before moving up to A-pictures.  He was a good friend of actor Errol Flynn, whom he directed in Adventures of Don Juan (1949)...""","""2006-06-18""","""https://image.tmdb.org/t/p/w440_and_h660_face/6p2urgk6KsbnBOwGFVvTzAefWFA.jpg""","""https://themoviedb.org/person/19528"""
"""Pusztaturpaszto, Túrkeve, Austria-Hungary [now Hungary]""","""65852""","""1895-06-03""","""Zoltan Korda""","""From Wikipedia, the free encyclopedia

Zoltan Korda (3 June 1895 – 13 October 1961) was a Hungarian-born motion picture screenwriter, director and producer. 

Born Zoltán Kellner, Kellner Zoltán in Hungarian name order, of Jewish heritage in Pusztatúrpásztó, Túrkeve in Hungary (Austria-Hungary), he was the middle brother of filmmakers Alexander and Vincent Korda...""","""1961-10-13""",null,"""https://themoviedb.org/person/65852"""
"""New York City, New York, USA""","""14511""","""1892-06-04""",""" Fred Fleck""","""Fred Fleck was born on June 4, 1892 in New York City, New York, USA.  He was an assistant director and production manager, known for Jet Pilot (1957), The Littlest Rebel (1914) and The Window (1949)...""","""1961-11-09""",null,"""https://themoviedb.org/person/14511"""
"""Sucha, Galicia, Austria-Hungary""","""3146""","""1906-06-22""","""Billy Wilder""","""From Wikipedia, the free encyclopedia.   Billy Wilder (22 June 1906 – 27 March 2002) was an Austria/Hungarian-born American filmmaker, screenwriter, producer, artist, and journalist, whose career spanned more than 50 years and 60 films.  He is regarded as one of the most brilliant and versatile filmmakers of Hollywood's golden age.  Wilder is one of only five people who have won Academy Awards as producer, director, and writer for the same film (The Apartment)...""","""2002-03-27""","""https://image.tmdb.org/t/p/w440_and_h660_face/nWV9BDDCbRegP7etiPjl3vYnJEq.jpg""","""https://themoviedb.org/person/3146"""
""" London, England, UK""","""93904""","""1898-01-16""","""Irving Rapper""","""From Wikipedia, the free encyclopedia

Irving Rapper (16 January 1898, or 1902 – 20 December 1999) was an England-born American film director. 

Born to a Jewish family in London, England, Rapper emigrated to the United States and became an actor and stage director on Broadway while studying at New York University.  In 1936, he went to Hollywood, where he was hired by Warner Bros.  as an assistant director and dialogue coach...""","""1999-02-20""","""https://image.tmdb.org/t/p/w440_and_h660_face/lNJb2uowtdBpkVf3g7UWMvr2OzK.jpg""","""https://themoviedb.org/person/93904"""
"""Chicago, Illinois, USA""","""13980""","""1903-02-28""","""Vincente Minnelli""","""Vincente Minnelli, born in Chicago, was an American stage director and film director, famous for directing such classic movie musicals as Meet Me in St.  Louis (1944), Gigi (1958), The Band Wagon (1953), and An American in Paris (1951).  An American in Paris and Gigi both won the Academy Award for Best Picture, with Minnelli winning Best Director for Gigi.  In addition to having directed some of the most famous and well-remembered musicals of his time, Minnelli made many comedies and melodramas...""","""1986-07-25""","""https://image.tmdb.org/t/p/w440_and_h660_face/fmlq7RMQdWsrPBAskIezf22e8Mv.jpg""","""https://themoviedb.org/person/13980"""
"""San Francisco, California, USA""","""76981""","""1904-07-24""","""Delmer Daves""","""Delmer Daves was an American actor, screenwriter, director, and producer...""","""1977-08-17""","""https://image.tmdb.org/t/p/w440_and_h660_face/vD8HCP04NbxS4Tb6AoRjBtHb3qA.jpg""","""https://themoviedb.org/person/76981"""
